type,algorithm,N,seed,timeout,max_fringe,cost,length,expanded,filename
graph,ucs,6,1,False,23750,4,5,8469,hlog-graph-ucs_N6_S1.log
tree,ucs,9,5,False,,,,,hlog-tree-ucs_N9_S5.log
graph,astar,4,2,False,20,2,3,2,hlog-graph-astar_N4_S2.log
tree,ucs,9,2,False,,,,,hlog-tree-ucs_N9_S2.log
graph,ucs,8,4,False,1925420,5,6,466362,hlog-graph-ucs_N8_S4.log
graph,ucs,4,1,False,127,3,4,113,hlog-graph-ucs_N4_S1.log
graph,ucs,6,3,False,7255,3,4,1241,hlog-graph-ucs_N6_S3.log
graph,ucs,9,2,False,,,,,hlog-graph-ucs_N9_S2.log
graph,astar,7,2,False,406,6,7,12,hlog-graph-astar_N7_S2.log
graph,astar,6,5,False,165,4,5,7,hlog-graph-astar_N6_S5.log
tree,ucs,5,1,False,2851,2,3,150,hlog-tree-ucs_N5_S1.log
graph,ucs,9,4,False,,,,,hlog-graph-ucs_N9_S4.log
tree,ucs,8,3,False,,,,,hlog-tree-ucs_N8_S3.log
graph,astar,9,1,False,1239,8,9,20,hlog-graph-astar_N9_S1.log
graph,ucs,10,4,False,,,,,hlog-graph-ucs_N10_S4.log
tree,ucs,5,2,False,104767,3,4,5514,hlog-tree-ucs_N5_S2.log
tree,astar,5,5,False,58,3,4,3,hlog-tree-astar_N5_S5.log
graph,astar,6,3,False,189,3,4,8,hlog-graph-astar_N6_S3.log
graph,astar,7,1,False,145,4,5,4,hlog-graph-astar_N7_S1.log
graph,astar,4,3,False,41,4,5,5,hlog-graph-astar_N4_S3.log
tree,ucs,8,2,False,,,,,hlog-tree-ucs_N8_S2.log
tree,astar,10,5,False,2048,7,8,23,hlog-tree-astar_N10_S5.log
tree,astar,10,2,False,1336,7,8,15,hlog-tree-astar_N10_S2.log
graph,astar,10,4,False,3790,10,11,49,hlog-graph-astar_N10_S4.log
tree,ucs,4,2,False,1266,2,3,115,hlog-tree-ucs_N4_S2.log
tree,ucs,5,3,False,12560,3,4,661,hlog-tree-ucs_N5_S3.log
graph,ucs,6,2,False,31250,5,6,22078,hlog-graph-ucs_N6_S2.log
graph,ucs,4,3,False,128,3,4,114,hlog-graph-ucs_N4_S3.log
graph,ucs,7,5,False,27444,3,4,3565,hlog-graph-ucs_N7_S5.log
graph,astar,8,3,False,970,6,7,21,hlog-graph-astar_N8_S3.log
graph,astar,5,4,False,49,2,3,3,hlog-graph-astar_N5_S4.log
tree,ucs,6,5,False,13254480,4,5,457051,hlog-tree-ucs_N6_S5.log
tree,astar,5,1,False,77,3,4,4,hlog-tree-astar_N5_S1.log
tree,astar,8,1,False,5556,7,8,101,hlog-tree-astar_N8_S1.log
graph,astar,5,5,False,49,3,4,3,hlog-graph-astar_N5_S5.log
graph,astar,10,1,False,5189,8,9,68,hlog-graph-astar_N10_S1.log
tree,astar,6,1,False,5366,5,6,185,hlog-tree-astar_N6_S1.log
